Car Name,Link,Year,KM,Type,CC,Type 2,GRADE
DS Automobiles DS9 1.6 E-Tense EAT8 165 kW,https://carvago.com/car/51869673/ds-automobiles-ds9-1-6-e-tense-eat8-165-kw,2021,6861,Hybrid,3360,Automatic,
Skoda Yeti 2.0 TDi 81 kW,https://carvago.com/car/52106219/skoda-yeti-2-0-tdi-81-kw,2011,165000,Diesel,1650,Manual,
Skoda Yeti 2.0 TDi 81 kW,https://carvago.com/car/52106219/skoda-yeti-2-0-tdi-81-kw,2011,165000,Diesel,1650,Manual,
Dodge RAM 296 kW,https://carvago.com/car/52038662/dodge-ram-296-kw,2021,16433,LPG,6030,Automatic,4
Dodge Charger 362 kW,https://carvago.com/car/52080993/dodge-charger-362-kw,2019,31200,Petrol,7380,Automatic,
Dodge Charger 362 kW,https://carvago.com/car/52080993/dodge-charger-362-kw,2019,31200,Petrol,7380,Automatic,
Dodge RAM 295 kW,https://carvago.com/car/51137762/dodge-ram-295-kw,2021,7600,Petrol,6015,Automatic,4
BMW 118 I 100 kW,https://carvago.com/car/51225396/bmw-118-i-100-kw,2021,35988,Petrol,2040,Automatic,
BMW 118 I 100 kW,https://carvago.com/car/51225396/bmw-118-i-100-kw,2021,35988,Petrol,2040,Automatic,
Opel Antara 2.2 CDTi ecoFLEX Selection 120 kW,https://carvago.com/car/52201727/opel-antara-2-2-cdti-ecoflex-selection-120-kw,2015,123500,Diesel,2445,Manual,
Opel Antara 2.2 CDTi ecoFLEX Selection 120 kW,https://carvago.com/car/52201727/opel-antara-2-2-cdti-ecoflex-selection-120-kw,2015,123500,Diesel,2445,Manual,
Dodge Charger 362 kW,https://carvago.com/car/51963765/dodge-charger-362-kw,2020,27800,Petrol,7380,Automatic,
Dodge Charger 362 kW,https://carvago.com/car/51963765/dodge-charger-362-kw,2020,27800,Petrol,7380,Automatic,
BMW 120 140 kW,https://carvago.com/car/50998226/bmw-120-140-kw,2021,18000,Diesel,2850,Automatic,
BMW 120 140 kW,https://carvago.com/car/50998226/bmw-120-140-kw,2021,18000,Diesel,2850,Automatic,
Dodge Charger 280 kW,https://carvago.com/car/51968145/dodge-charger-280-kw,2020,1100,Petrol,5715,Automatic,
Dodge Charger 280 kW,https://carvago.com/car/51968145/dodge-charger-280-kw,2020,1100,Petrol,5715,Automatic,
DFSK Seres 120 kW,https://carvago.com/car/50746335/dfsk-seres-120-kw,2022,4500,Electric,2445,Manual,
DFSK Seres 120 kW,https://carvago.com/car/50746335/dfsk-seres-120-kw,2022,4500,Electric,2445,Manual,
Dodge RAM 296 kW,https://carvago.com/car/51550906/dodge-ram-296-kw,2021,50000,LPG,6030,Automatic,4
Mercedes-Benz E 63 AMG E T S 4Matic MCT 430 kW,https://carvago.com/car/34668213/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw,2015,35000,Petrol,8775,Automatic,4
Renault Talisman dCi 200 EDC INITIALE PARIS 147 kW,https://carvago.com/car/52075048/renault-talisman-dci-200-edc-initiale-paris-147-kw,2019,51617,Diesel,3000,Automatic,
Renault Talisman dCi 200 EDC INITIALE PARIS 147 kW,https://carvago.com/car/52075048/renault-talisman-dci-200-edc-initiale-paris-147-kw,2019,51617,Diesel,3000,Automatic,
Volkswagen Amarok 2.0 TDi 4Motion 103 kW,https://carvago.com/car/51609775/volkswagen-amarok-2-0-tdi-4motion-103-kw,2016,94666,Diesel,2100,Manual,4
Mercedes-Benz CLA 180 100 kW,https://carvago.com/car/52126120/mercedes-benz-cla-180-100-kw,2019,22000,Petrol,2040,Manual,
Mercedes-Benz CLA 180 100 kW,https://carvago.com/car/52126120/mercedes-benz-cla-180-100-kw,2019,22000,Petrol,2040,Manual,
Hyundai i20 1.2 62 kW,https://carvago.com/car/52051034/hyundai-i20-1-2-62-kw,2019,166770,Petrol,1260,Manual,
Hyundai i20 1.2 62 kW,https://carvago.com/car/52051034/hyundai-i20-1-2-62-kw,2019,166770,Petrol,1260,Manual,
Opel Insignia 2.0 CDTi Sports Tourer Automatic Cosmo 118 kW,https://carvago.com/car/52040986/opel-insignia-2-0-cdti-sports-tourer-automatic-cosmo-118-kw,2010,141974,Diesel,2400,Automatic,
Opel Insignia 2.0 CDTi Sports Tourer Automatic Cosmo 118 kW,https://carvago.com/car/52040986/opel-insignia-2-0-cdti-sports-tourer-automatic-cosmo-118-kw,2010,141974,Diesel,2400,Automatic,
Land Rover Discovery Sport TD4 SE 132 kW,https://carvago.com/car/51837315/land-rover-discovery-sport-td4-se-132-kw,2019,92650,Diesel,2685,Manual,4
Audi A4 150 kW,https://carvago.com/car/51973696/audi-a4-150-kw,2022,15000,Diesel,3060,Automatic,4
Mercedes-Benz CLS 400 245 kW,https://carvago.com/car/52220428/mercedes-benz-cls-400-245-kw,2016,75000,Petrol,4995,Automatic,
Mercedes-Benz CLS 400 245 kW,https://carvago.com/car/52220428/mercedes-benz-cls-400-245-kw,2016,75000,Petrol,4995,Automatic,
Mercedes-Benz E 450 T 4Matic Avantgarde 270 kW,https://carvago.com/car/50101265/mercedes-benz-e-450-t-4matic-avantgarde-270-kw,2021,21240,Petrol,5505,Automatic,4
Mazda CX-5 175 AWD Drive Sports-Line 129 kW,https://carvago.com/car/52220505/mazda-cx-5-175-awd-drive-sports-line-129-kw,2015,139380,Diesel,2625,Automatic,4
Mitsubishi Outlander 2.2 4WD Motion 130 kW,https://carvago.com/car/50386175/mitsubishi-outlander-2-2-4wd-motion-130-kw,2012,123000,Diesel,2655,Manual,4
